"ensembl","entrez","hgnc_symbol","P13555_106","P13555_109","P13555_110","P13555_116","P13555_118","P13555_119","P13555_120","P13555_210","P13555_211","P13555_212"
"ENSG00000165219",26130,"GAPVD1",4.33057497578978,4.33057497578978,4.33057497578978,4.68391578200042,4.90643818311714,4.33057497578978,4.33057497578978,4.96196522107549,4.80349957968967,4.33057497578978
"ENSG00000068097",63897,"HEATR6",5.85653232194457,5.74862184927635,6.40141199861547,6.53746450956612,6.00584654457239,5.98451049495167,6.21218018647372,6.20789587659768,6.58519077656986,6.15004352637136
"ENSG00000121897",11019,"LIAS",5.21796471576581,5.44577041132024,4.93930625600087,5.25202291813291,5.20273032647538,5.3767112527272,5.4293193587106,5.70153182045803,5.41867999450969,5.53232583032709
"ENSG00000221838",9179,"AP4M1",5.38442102628343,5.2484107202343,5.28283831555634,4.82904109448525,4.99408455497058,5.19077974789163,5.21887707152116,5.76352842650735,5.37016909039387,4.96415089569497
"ENSG00000116679",10625,"IVNS1ABP",5.85653232194457,4.98495933069681,5.52286767073548,5.97537556384824,5.5046369370078,5.85284695079093,6.05564984534239,5.21664631009443,5.26428353756215,5.98715234254368
"ENSG00000144034",51002,"TPRKB",5.27718777135377,5.44577041132024,4.76259711294854,5.37058298420186,5.5046369370078,5.11771503819928,5.05960081158965,5.10087059637445,5.31886020869721,5.56951132867431
"ENSG00000243678",654364,"NME1-NME2",4.67050226832838,4.71053199576477,5.07342482916069,4.82904109448525,4.33057497578978,4.68607714955073,4.75444462058805,4.33057497578978,4.33057497578978,4.64926641150223
"ENSG00000188958",257313,"UTS2B",5.91836947952916,5.98469086696294,5.92729698891236,6.32306633056356,5.95066954806737,6.40207088591542,6.26611863309234,5.63570856158434,5.55073370886971,6.15004352637136
"ENSG00000105948",79989,"TTC26",7.67484659456969,7.76853034937486,7.81811505960199,7.31278111200066,7.5423852322351,7.53454132577969,7.77194305967257,7.57613063741006,7.4632879911689,7.35714790834667
"ENSG00000115257",54760,"PCSK4",9.58498327417437,9.45283068558065,9.84486385378383,9.49213513281057,9.63383577731587,9.61892134265892,9.51307521296868,9.15258056127489,8.93309812397003,9.6363389653318
