ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,Score
CACNB1,-0.27544968084230703,-13.916599245994687,-6.243023195017422,1.6239389602028703e-4,0.001052488560651028,0.6657713934892815,0.8202292711266044
TMEFF2,-0.6150963397165548,-16.136029336421938,-6.241474538745638,1.6269050981836255e-4,0.0010532197620321082,0.6638074607717748,1.8314376650621558
HNRNPUL2,0.5445708222177217,-10.350082640926463,6.24136431554964,1.6271164336092888e-4,0.0010532197620321082,0.6636676688136216,1.6214492766498898
CDC73,0.23246670115080015,-13.31720770233119,6.238458223483265,1.632699220237205e-4,0.0010561683627953572,0.6599814003321463,0.6918829353906117
EPHA2,0.3966169288707988,-15.316297265654498,6.2353592632422,1.6386755500367138e-4,0.0010591349548711795,0.6560492530091153,1.1799546780824663
UGDH,0.4923056776677406,-12.937335279825,6.235012398346813,1.6393459608911827e-4,0.0010591349548711795,0.6556090507489145,1.464633365662114
TMEM108,-0.4940723606095716,-20.71401592753776,-6.228517023208332,1.651955460941311e-4,0.001066611192400486,0.647362898771279,1.468380023804389
EEF1AKMT4-ECE2,0.3768143655828915,-16.934232055412956,6.224254194346896,1.66028839044122e-4,0.0010713185414529377,0.6419480171768512,1.1191693304180108
KLHL22,-0.27651857892842635,-15.694195351349249,-6.21951518648914,1.669606003658193e-4,0.0010766549630867356,0.6359254362858167,0.820685975669682
MRPS9,-0.31429046357164836,-13.711032085641852,-6.216957099053593,1.6746592857184558e-4,0.001079236539053292,0.6326732450173527,0.9324631464026129
