"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"3980","111","GO Biological Process","","Regulation of macromolecule biosynthetic process","1.12E-53","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|E2F3|MAPK3|PPM1F|EPAS1|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|REL|TLX3|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|EZH2|GSK3B|PGR|SP1|PRKCD|RARB|SMAD3|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|GABPA|WWP2|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|SP2|SF1|KLF5|WT1|GATA3|E2F4|SRY|URI1|ETS1|POU2AF1|NR2F2|MAPK8|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|SATB1|HMGA1|EWSR1|CBFB|UHMK1|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|RIOX1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|ENC1|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46050|46323|46356|46164|46113|46074|46029|46365|46386|46305|46128|46368|46185|46155|46278|46335|46005|46047|46035|46194|46272|46053|46317|46002|46218|46122|46038|46026|46338|46227|46182|46008|46287|46215|46197|46332|46275|46158|46020|46044|46134|46065|46212|46032|46344|46089|46098|46302|46260|46263|46248|46116|46350|46299|46320|46341|46224|46110|46257|46242|46125|46362|46023|46092|46290|46236|46077|46284|46347|46221|46266|46200|46119|46107|46311|46146|46353|46188|46152|46062|46269|46383|46203|46041|46071|46083|46230|46059|46374|46170|46104|46143|46326|46140|46191|46377|46308|46233|46179|46131|46056","1.07E-56","","GO:0010556","5.295078197732982","0"
"3759","109","GO Biological Process","","Regulation of RNA metabolic process","1.31E-53","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|E2F3|MAPK3|PPM1F|EPAS1|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|REL|TLX3|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|CLK4|EZH2|PGR|SP1|PRKCD|RARB|SMAD3|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|GABPA|WWP2|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|SP2|SF1|KLF5|WT1|GATA3|E2F4|SRY|URI1|ETS1|POU2AF1|NR2F2|MAPK8|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|SATB1|HMGA1|EWSR1|CBFB|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|RIOX1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46050|46323|46356|46164|46113|46074|46029|46365|46386|46305|46128|46368|46185|46155|46278|46335|46005|46047|46035|46194|46272|46053|46317|46002|46218|46122|46038|46095|46026|46227|46182|46008|46287|46215|46197|46332|46275|46158|46020|46044|46134|46065|46212|46032|46344|46089|46098|46302|46260|46263|46248|46116|46350|46299|46320|46341|46224|46110|46257|46242|46125|46362|46023|46092|46290|46236|46077|46284|46347|46221|46266|46200|46119|46107|46311|46146|46353|46188|46152|46062|46269|46203|46041|46071|46083|46230|46059|46374|46170|46104|46143|46326|46140|46191|46377|46308|46233|46179|46056","1.33E-56","","GO:0051252","5.288272870434424","0"
"4143","112","GO Biological Process","","Regulation of cellular biosynthetic process","3.04E-53","CEBPE|USF2|NFKB1|SPI1|CYP27B1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|E2F3|MAPK3|PPM1F|EPAS1|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|REL|TLX3|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|EZH2|GSK3B|PGR|SP1|PRKCD|RARB|SMAD3|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|GABPA|WWP2|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|SP2|SF1|KLF5|WT1|GATA3|E2F4|SRY|URI1|ETS1|POU2AF1|NR2F2|MAPK8|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|SATB1|HMGA1|EWSR1|CBFB|UHMK1|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|RIOX1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|ENC1|TFAP2A","45910","46380|46371|46254|46314|46101|46245|46296|46206|46251|46329|46239|46050|46323|46356|46164|46113|46074|46029|46365|46386|46305|46128|46368|46185|46155|46278|46335|46005|46047|46035|46194|46272|46053|46317|46002|46218|46122|46038|46026|46338|46227|46182|46008|46287|46215|46197|46332|46275|46158|46020|46044|46134|46065|46212|46032|46344|46089|46098|46302|46260|46263|46248|46116|46350|46299|46320|46341|46224|46110|46257|46242|46125|46362|46023|46092|46290|46236|46077|46284|46347|46221|46266|46200|46119|46107|46311|46146|46353|46188|46152|46062|46269|46383|46203|46041|46071|46083|46230|46059|46374|46170|46104|46143|46326|46140|46191|46377|46308|46233|46179|46131|46056","3.3E-56","","GO:0031326","5.251712641639125","0"
"462","57","GO Molecular Function","","DNA-binding transcription activator activity","7.86E-53","CEBPE|NFKB1|SPI1|EGR1|EGR2|IRF1|SOX9|ATF1|SMAD2|E2F3|EPAS1|STAT3|TP63|SRF|TP53|REL|RUNX1|JUNB|CEBPB|SMAD1|FOS|PGR|SP1|SMAD3|ATF4|MYB|E2F1|GATA2|GABPA|NFKB2|JUN|RUNX2|MTF1|KLF5|WT1|GATA3|E2F4|ETS1|NFATC2|NFE2L2|RELA|PPARA|NFATC1|MITF|FLI1|HIF1A|HNF1A|NKRF|SP7|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|DLX5|TFAP2A","45910","46380|46254|46314|46296|46251|46329|46239|46164|46113|46074|46386|46305|46128|46368|46335|46005|46194|46272|46053|46317|46002|46227|46182|46215|46197|46332|46020|46044|46065|46098|46302|46260|46116|46257|46242|46125|46362|46290|46347|46221|46200|46119|46311|46146|46041|46071|46083|46230|46059|46170|46104|46143|46140|46191|46377|46179|46056","1.91E-55","","GO:0001216","5.210457745396059","0"
"458","56","GO Molecular Function","","DNA-binding transcription activator activity, RNA polymerase II-specific","1.34E-51","CEBPE|NFKB1|SPI1|EGR1|EGR2|IRF1|SOX9|ATF1|SMAD2|E2F3|EPAS1|STAT3|TP63|SRF|TP53|REL|RUNX1|JUNB|CEBPB|SMAD1|FOS|PGR|SP1|SMAD3|ATF4|MYB|GATA2|GABPA|NFKB2|JUN|RUNX2|MTF1|KLF5|WT1|GATA3|E2F4|ETS1|NFATC2|NFE2L2|RELA|PPARA|NFATC1|MITF|FLI1|HIF1A|HNF1A|NKRF|SP7|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|DLX5|TFAP2A","45910","46380|46254|46314|46296|46251|46329|46239|46164|46113|46074|46386|46305|46128|46368|46335|46005|46194|46272|46053|46317|46002|46227|46182|46215|46197|46332|46044|46065|46098|46302|46260|46116|46257|46242|46125|46362|46290|46347|46221|46200|46119|46311|46146|46041|46071|46083|46230|46059|46170|46104|46143|46140|46191|46377|46179|46056","3.52E-54","","GO:0001228","5.0872895201635195","0"
"3533","105","GO Biological Process","","Positive regulation of macromolecule metabolic process","3.29E-51","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|E2F3|MAPK3|PPM1F|EPAS1|STAT3|TP63|CASP6|SRF|KAT6A|JDP2|GATA6|TP53|REL|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|EZH2|GSK3B|PGR|SP1|PRKCD|RARB|SMAD3|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|DUSP19|GABPA|WWP2|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|KLF5|WT1|GATA3|E2F4|SRY|ETS1|POU2AF1|NR2F2|MAPK8|NFATC2|NFE2L2|RELA|PPARA|RARG|NFATC1|MITF|TNIK|HMGA1|CBFB|UHMK1|HSF1|FLI1|LATS1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46050|46323|46356|46164|46113|46074|46029|46365|46386|46305|46128|46167|46368|46185|46155|46278|46335|46005|46035|46194|46272|46053|46317|46002|46218|46122|46038|46026|46338|46227|46182|46008|46287|46215|46197|46332|46275|46158|46020|46044|46134|46293|46065|46212|46032|46344|46089|46098|46302|46260|46263|46248|46116|46350|46299|46320|46341|46257|46242|46125|46362|46023|46290|46236|46077|46284|46347|46221|46200|46119|46107|46311|46146|46209|46152|46269|46383|46203|46041|45999|46071|46083|46230|46059|46374|46170|46104|46143|46140|46191|46377|46308|46233|46179|46056","3.98E-54","","GO:0010604","5.0482804102050025","0"
"2498","93","GO Molecular Function","","DNA binding","1.5E-50","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|RARA|ATF1|SMAD2|E2F3|EPAS1|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|REL|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|EZH2|PGR|SP1|RARB|SMAD3|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|GABPA|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|SP2|KLF5|WT1|GATA3|E2F4|SRY|ETS1|POU2AF1|NR2F2|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|SATB1|HMGA1|HIPK1|CBFB|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|PITX2|DLX5|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46323|46164|46113|46074|46386|46305|46128|46368|46185|46155|46278|46335|46005|46047|46194|46272|46053|46317|46002|46218|46122|46038|46026|46227|46182|46287|46215|46197|46332|46275|46158|46020|46044|46134|46065|46032|46344|46089|46098|46302|46260|46248|46116|46350|46299|46320|46341|46224|46257|46242|46125|46362|46023|46290|46236|46077|46347|46221|46266|46200|46119|46107|46311|46146|46188|46152|46149|46269|46203|46041|46071|46083|46230|46059|46170|46104|46143|46140|46191|46377|46308|46179|46056","4.26E-53","","GO:0003677","4.982390874094432","0"
"4169","110","GO Cellular Component","","Nucleoplasm","1.89E-50","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|CSNK2A2|E2F3|MAPK3|EPAS1|STAT3|TP63|CASP6|SRF|KAT6A|GATA6|TP53|REL|TLX3|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|SP3|REST|STAT2|EZH2|GSK3B|PGR|SP1|PRKCD|RARB|SMAD3|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|GABPA|ETS2|KDM5B|POU2F1|DUSP23|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|STK40|ATRX|NR5A1|TFDP1|SP2|SF1|KLF5|WT1|GATA3|E2F4|SRY|URI1|ETS1|NR2F2|MAPK8|NFATC2|NFE2L2|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|TNIK|SATB1|HMGA1|EWSR1|HIPK1|CBFB|UHMK1|HSF1|FLI1|HIF1A|NKRF|AKT1|MEF2A|GTF2I|CEBPG|RIOX1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|ENC1|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46050|46323|46356|46164|46113|46080|46074|46029|46386|46305|46128|46167|46368|46185|46278|46335|46005|46047|46035|46194|46272|46053|46317|46002|46014|46218|46122|46038|46026|46338|46227|46182|46008|46287|46215|46197|46332|46275|46158|46020|46044|46134|46065|46032|46344|46089|46161|46098|46302|46260|46263|46248|46116|46350|46011|46299|46320|46341|46224|46110|46257|46242|46125|46362|46023|46092|46290|46077|46284|46347|46221|46200|46119|46107|46311|46146|46353|46209|46188|46152|46062|46149|46269|46383|46203|46041|46071|46230|46374|46170|46104|46143|46326|46140|46191|46377|46308|46233|46131|46056","2.78E-53","","GO:0005654","4.9723538195826755","0"
"3114","100","GO Biological Process","","Positive regulation of cellular metabolic process","3.19E-50","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|E2F3|MAPK3|EPAS1|STAT3|TP63|SRF|KAT6A|GATA6|TP53|REL|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|EZH2|GSK3B|PGR|SP1|PRKCD|RARB|SMAD3|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|DUSP19|GABPA|WWP2|ETS2|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|KLF5|WT1|GATA3|E2F4|SRY|ETS1|POU2AF1|NR2F2|NFATC2|NFE2L2|RELA|PPARA|RARG|NFATC1|MITF|TNIK|HMGA1|CBFB|UHMK1|HSF1|FLI1|LATS1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46050|46323|46356|46164|46113|46074|46029|46386|46305|46128|46368|46185|46278|46335|46005|46035|46194|46272|46053|46317|46002|46218|46122|46038|46026|46338|46227|46182|46008|46287|46215|46197|46332|46275|46158|46020|46044|46134|46293|46065|46212|46032|46089|46098|46302|46260|46263|46248|46116|46350|46299|46320|46341|46257|46242|46125|46362|46023|46290|46236|46077|46347|46221|46200|46119|46107|46311|46146|46209|46152|46269|46383|46203|46041|45999|46071|46083|46230|46059|46374|46170|46104|46143|46140|46191|46377|46308|46233|46179|46056","4.07E-53","","GO:0031325","4.949620931694282","0"
"5681","120","GO Biological Process","","Regulation of cellular metabolic process","2.39E-49","CEBPE|USF2|NFKB1|SPI1|CYP27B1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|CSNK2A2|E2F3|MAPK3|PPM1F|EPAS1|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|REL|TLX3|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|SP3|REST|STAT2|CLK4|EZH2|GSK3B|PGR|SP1|PRKCD|KLHL22|RARB|SMAD3|PTPRB|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|DUSP19|GABPA|WWP2|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|SP2|SF1|KLF5|WT1|GATA3|E2F4|SRY|URI1|ETS1|POU2AF1|NR2F2|MAPK8|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|TNIK|SATB1|HMGA1|EWSR1|CBFB|UHMK1|HSF1|FLI1|LATS1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|RIOX1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|ENC1|TFAP2A","45910","46380|46371|46254|46314|46101|46245|46296|46206|46251|46329|46239|46050|46323|46356|46164|46113|46080|46074|46029|46365|46386|46305|46128|46368|46185|46155|46278|46335|46005|46047|46035|46194|46272|46053|46317|46002|46014|46218|46122|46038|46095|46026|46338|46227|46182|46008|46086|46287|46215|46173|46197|46332|46275|46158|46020|46044|46134|46293|46065|46212|46032|46344|46089|46098|46302|46260|46263|46248|46116|46350|46299|46320|46341|46224|46110|46257|46242|46125|46362|46023|46092|46290|46236|46077|46284|46347|46221|46266|46200|46119|46107|46311|46146|46353|46209|46188|46152|46062|46269|46383|46203|46041|45999|46071|46083|46230|46059|46374|46170|46104|46143|46326|46140|46191|46377|46308|46233|46179|46131|46056","3.36E-52","","GO:0031323","4.862160209905186","0"
"4899","114","GO Biological Process","","Regulation of gene expression","2.82E-48","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|E2F3|MAPK3|PPM1F|EPAS1|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|REL|TLX3|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|SP3|REST|STAT2|CLK4|EZH2|GSK3B|PGR|SP1|PRKCD|RARB|SMAD3|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|GABPA|WWP2|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|STK40|ATRX|NR5A1|TFDP1|SP2|SF1|KLF5|WT1|GATA3|E2F4|SRY|URI1|ETS1|POU2AF1|NR2F2|MAPK8|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|SATB1|HMGA1|EWSR1|CBFB|UHMK1|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|RIOX1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|ENC1|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46050|46323|46356|46164|46113|46074|46029|46365|46386|46305|46128|46368|46185|46155|46278|46335|46005|46047|46035|46194|46272|46053|46317|46002|46014|46218|46122|46038|46095|46026|46338|46227|46182|46008|46287|46215|46197|46332|46275|46158|46020|46044|46134|46065|46212|46032|46344|46089|46098|46302|46260|46263|46248|46116|46350|46011|46299|46320|46341|46224|46110|46257|46242|46125|46362|46023|46092|46290|46236|46077|46284|46347|46221|46266|46200|46119|46107|46311|46146|46353|46188|46152|46062|46269|46383|46203|46041|46071|46083|46230|46059|46374|46170|46104|46143|46326|46140|46191|46377|46308|46233|46179|46131|46056","4.14E-51","","GO:0010468","4.754975089168064","0"
"5734","119","GO Biological Process","","Regulation of nitrogen compound metabolic process","1.58E-47","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|CSNK2A2|E2F3|MAPK3|PPM1F|EPAS1|STAT3|TP63|CASP6|SRF|KAT6A|JDP2|GATA6|TP53|REL|TLX3|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|SP3|REST|STAT2|CLK4|EZH2|GSK3B|PGR|SP1|PRKCD|RARB|SMAD3|PTPRB|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|DUSP19|GABPA|WWP2|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|SP2|SF1|KLF5|WT1|GATA3|E2F4|SRY|URI1|ETS1|POU2AF1|NR2F2|MAPK8|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|TNIK|SATB1|HMGA1|EWSR1|CBFB|UHMK1|HSF1|FLI1|LATS1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|RIOX1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|ENC1|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46050|46323|46356|46164|46113|46080|46074|46029|46365|46386|46305|46128|46167|46368|46185|46155|46278|46335|46005|46047|46035|46194|46272|46053|46317|46002|46014|46218|46122|46038|46095|46026|46338|46227|46182|46008|46287|46215|46173|46197|46332|46275|46158|46020|46044|46134|46293|46065|46212|46032|46344|46089|46098|46302|46260|46263|46248|46116|46350|46299|46320|46341|46224|46110|46257|46242|46125|46362|46023|46092|46290|46236|46077|46284|46347|46221|46266|46200|46119|46107|46311|46146|46353|46209|46188|46152|46062|46269|46383|46203|46041|45999|46071|46083|46230|46059|46374|46170|46104|46143|46326|46140|46191|46377|46308|46233|46179|46131|46056","2.55E-50","","GO:0051171","4.680134291304558","0"
"5899","120","GO Biological Process","","Regulation of primary metabolic process","1.58E-47","CEBPE|USF2|NFKB1|SPI1|CYP27B1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|CSNK2A2|E2F3|MAPK3|PPM1F|EPAS1|STAT3|TP63|CASP6|SRF|KAT6A|JDP2|GATA6|TP53|REL|TLX3|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|SP3|REST|STAT2|CLK4|EZH2|GSK3B|PGR|SP1|PRKCD|RARB|SMAD3|PTPRB|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|DUSP19|GABPA|WWP2|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|SP2|SF1|KLF5|WT1|GATA3|E2F4|SRY|URI1|ETS1|POU2AF1|NR2F2|MAPK8|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|TNIK|SATB1|HMGA1|EWSR1|CBFB|UHMK1|HSF1|FLI1|LATS1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|RIOX1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|ENC1|TFAP2A","45910","46380|46371|46254|46314|46101|46245|46296|46206|46251|46329|46239|46050|46323|46356|46164|46113|46080|46074|46029|46365|46386|46305|46128|46167|46368|46185|46155|46278|46335|46005|46047|46035|46194|46272|46053|46317|46002|46014|46218|46122|46038|46095|46026|46338|46227|46182|46008|46287|46215|46173|46197|46332|46275|46158|46020|46044|46134|46293|46065|46212|46032|46344|46089|46098|46302|46260|46263|46248|46116|46350|46299|46320|46341|46224|46110|46257|46242|46125|46362|46023|46092|46290|46236|46077|46284|46347|46221|46266|46200|46119|46107|46311|46146|46353|46209|46188|46152|46062|46269|46383|46203|46041|45999|46071|46083|46230|46059|46374|46170|46104|46143|46326|46140|46191|46377|46308|46233|46179|46131|46056","2.52E-50","","GO:0080090","4.680134291304558","0"
"587","57","GO Molecular Function","","Transcription factor binding","1.64E-47","USF2|NFKB1|SPI1|AHR|EGR2|SOX9|RARA|NR0B2|SMAD2|EPAS1|STAT3|SRF|KAT6A|GATA6|TP53|RUNX1|CEBPB|FOS|SP3|REST|EZH2|GSK3B|PGR|SP1|SMAD3|ATF4|E2F1|GATA2|WWP2|ETS2|JUN|RUNX2|NCOA3|NR5A1|TFDP1|KLF5|GATA3|SRY|ETS1|NFE2L2|RELA|PPARA|RARG|NFATC1|DCAF1|HMGA1|HSF1|LATS1|HIF1A|HNF1A|MEF2A|GTF2I|CEBPG|MYC|NR4A3|PITX2|CTNNB1","45910","46371|46254|46314|46206|46251|46239|46323|46356|46113|46386|46305|46368|46185|46278|46335|46194|46053|46002|46218|46122|46026|46338|46227|46182|46215|46197|46020|46044|46212|46032|46302|46260|46263|46320|46341|46257|46125|46023|46290|46221|46200|46119|46107|46311|46353|46152|46203|45999|46071|46083|46170|46104|46143|46191|46377|46308|46233","5.0E-50","","GO:0008134","4.67851561519523","0"
"1322","72","GO Biological Process","","Negative regulation of transcription, DNA-templated","8.36E-46","NFKB1|SPI1|NANOG|EGR1|AHR|IRF1|SOX9|DPF2|RARA|NR0B2|SMAD2|PPM1F|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|PLK1|RUNX1|CEBPB|SP3|REST|EZH2|RARB|SMAD3|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|GABPA|WWP2|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|YBX1|ATRX|SP2|SF1|KLF5|WT1|GATA3|SRY|URI1|NR2F2|NFATC2|HMX1|RELA|PPARA|RARG|MITF|DCAF1|SATB1|HMGA1|CBFB|HSF1|HNF1A|NKRF|MEF2A|RIOX1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|TFAP2A","45910","46254|46314|46245|46296|46206|46329|46239|46050|46323|46356|46113|46365|46305|46128|46368|46185|46155|46278|46335|46035|46194|46053|46218|46122|46026|46287|46215|46197|46332|46275|46158|46020|46044|46065|46212|46032|46344|46089|46098|46302|46260|46248|46299|46224|46110|46257|46242|46125|46023|46092|46077|46347|46266|46200|46119|46107|46146|46353|46188|46152|46269|46203|46083|46230|46170|46326|46140|46191|46377|46308|46233|46056","1.44E-48","","GO:0045892","4.507779372256098","0"
"1592","76","GO Biological Process","","Negative regulation of cellular biosynthetic process","3.51E-45","NFKB1|SPI1|CYP27B1|NANOG|EGR1|AHR|IRF1|SOX9|DPF2|RARA|NR0B2|SMAD2|PPM1F|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|PLK1|RUNX1|CEBPB|SP3|REST|EZH2|GSK3B|RARB|SMAD3|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|GABPA|WWP2|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|YBX1|ZC3H12A|ATRX|SP2|SF1|KLF5|WT1|GATA3|SRY|URI1|NR2F2|NFATC2|HMX1|RELA|PPARA|RARG|MITF|DCAF1|SATB1|HMGA1|CBFB|HSF1|HNF1A|NKRF|MEF2A|RIOX1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|ENC1|TFAP2A","45910","46254|46314|46101|46245|46296|46206|46329|46239|46050|46323|46356|46113|46365|46305|46128|46368|46185|46155|46278|46335|46035|46194|46053|46218|46122|46026|46338|46287|46215|46197|46332|46275|46158|46020|46044|46065|46212|46032|46344|46089|46098|46302|46260|46248|46350|46299|46224|46110|46257|46242|46125|46023|46092|46077|46347|46266|46200|46119|46107|46146|46353|46188|46152|46269|46203|46083|46230|46170|46326|46140|46191|46377|46308|46233|46131|46056","6.72E-48","","GO:0031327","4.445469288353418","0"
