"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"15","3","GO Biological Process","","Positive regulation of hormone metabolic process","0.0044","EGR1|GATA3|HIF1A","45910","46296|46125|46071","2.1E-4","","GO:0032352","0.23565473235138126","0"
"15","3","GO Biological Process","","Ventricular cardiac muscle cell differentiation","0.0044","RARA|RARB|MEF2A","45910","46323|46287|46170","2.1E-4","","GO:0055012","0.23565473235138126","0"
"236","8","GO Biological Process","","Regulation of muscle system process","0.0044","SRF|PRKACA|SMAD3|JARID2|ZC3H12A|PPARA|MEF2A|NR4A3","45910","46368|46014|46215|46275|46350|46119|46170|46377","2.1E-4","","GO:0090257","0.23565473235138126","0"
"173","8","DISEASES","","Cell type benign neoplasm","0.0044","TP53|PGR|ATRX|WT1|SRY|RELA|HNF1A|CTNNB1","45910","46335|46227|46299|46242|46023|46200|46083|46233","2.6E-5","","DOID:0060084","0.23565473235138126","0"
"42","4","Reactome Pathways","","Activation of gene expression by SREBF (SREBP)","0.0044","SP1|NFYA|MTF1|PPARA","45910","46182|46134|46116|46119","2.3E-4","","HSA-2426168","0.23565473235138126","0"
"42","4","Reactome Pathways","","Deactivation of the beta-catenin transactivating complex","0.0044","SOX9|SRY|AKT1|CTNNB1","45910","46239|46023|46374|46233","2.3E-4","","HSA-3769402","0.23565473235138126","0"
"42","4","Reactome Pathways","","TAK1-dependent IKK and NF-kappa-B activation","0.0044","NFKB1|TP53|NFKB2|RELA","45910","46254|46335|46098|46200","2.3E-4","","HSA-445989","0.23565473235138126","0"
"80","5","Reactome Pathways","","Downstream signaling events of B Cell Receptor (BCR)","0.0045","NFKB1|REL|NFATC2|RELA|NFATC1","45910","46254|46005|46347|46200|46311","2.4E-4","","HSA-1168372","0.23467874862246565","0"
"16","3","Reactome Pathways","","Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1","0.0045","E2F1|TFDP1|E2F4","45910","46020|46341|46362","2.5E-4","","HSA-1362300","0.23467874862246565","0"
"16","3","Reactome Pathways","","The NLRP3 inflammasome","0.0045","NFKB1|NFKB2|RELA","45910","46254|46098|46200","2.5E-4","","HSA-844456","0.23467874862246565","0"
"447","11","GO Biological Process","","Regulation of nervous system development","0.0046","EGR2|RARA|SRF|TP53|REST|EZH2|E2F1|RARG|HIF1A|AKT1|CTNNB1","45910","46251|46323|46368|46335|46122|46026|46020|46107|46071|46374|46233","2.2E-4","","GO:0051960","0.2337242168318426","0"
"5436","55","GO Biological Process","","Cellular component organization","0.0048","SPI1|EGR2|SOX9|DPF2|ATF1|SMAD2|EPAS1|TP63|CASP6|SRF|KAT6A|TP53|PLK1|SMAD1|PRKACA|REST|EZH2|GSK3B|PRKCD|KLHL22|SMAD3|CDK10|MYB|JARID2|KDM5B|THEM4|NFKB2|JUN|ZC3H12A|ATRX|SF1|KLF5|WT1|GATA3|E2F4|ETS1|MAPK8|RELA|RARG|MITF|DCAF1|TNIK|SATB1|HMGA1|HIPK1|UHMK1|HSF1|LATS1|HNF1A|AKT1|MEF2A|RIOX1|MYC|CTNNB1|DLX5","45910","46314|46251|46239|46050|46164|46113|46386|46128|46167|46368|46185|46335|46035|46317|46014|46122|46026|46338|46008|46086|46215|46281|46332|46275|46344|46137|46098|46302|46350|46299|46110|46257|46242|46125|46362|46290|46284|46200|46107|46146|46353|46209|46188|46152|46149|46383|46203|45999|46083|46374|46170|46326|46191|46233|46179","2.3E-4","","GO:0016043","0.23187587626244127","0"
"179","7","GO Biological Process","","Pallium development","0.0048","RARA|CSNK2A2|SRF|EZH2|GSK3B|HIF1A|CTNNB1","45910","46323|46080|46368|46026|46338|46071|46233","2.3E-4","","GO:0021543","0.23187587626244127","0"
"82","5","Reactome Pathways","","Cyclin E associated events during G1/S transition","0.0048","E2F1|TFDP1|E2F4|AKT1|MYC","45910","46020|46341|46362|46374|46191","2.7E-4","","HSA-69202","0.23187587626244127","0"
