"Node1","Sign","Node2","Weight"
"UBB_UBE2G1",1,"WWP2",1
"UBB_UBE2H",1,"BRCA1",4
"UBB_UBE2H",1,"RNF4",4
"UBB_UBE2I",1,"BRCA1",1
"UBB_UBE2I",1,"RNF4",1
"UBB_UBE2J1",1,"DTX1",1
"UBB_UBE2J1",1,"HUWE1",1
"UBB_UBE2J1",1,"RLIM",1
"UBB_UBE2J1",1,"SMURF1",1
"UBB_UBE2J1",1,"TRIM25",1
"UBB_UBE2J1",1,"WWP2",1
"UBB_UBE2L3",1,"DTX1",2
"UBB_UBE2L3",1,"HUWE1",2
"UBB_UBE2L3",1,"RLIM",2
