"Node","NodeType","ZeroAct","UpAct","DownAct","AvgAct"
"BAZ1B_SMARCA5","",100,0,0,0
"BAZ2A_SMARCA5","",100,0,0,0
"BAZ2B","",100,0,0,0
"BBC3","",100,0,0,0
"BBIP1_BBS1_BBS2_BBS4_BBS5_BBS7_BBS9_TTC8","",100,0,0,0
"BCAP31","",100,0,0,0
"BCAR1","",100,0,0,0
"BCAR3","",100,0,0,0
"BCKDK","",100,0,0,0
"BCL10","",100,0,0,0
"BCL10_CARD11_MALT1","",100,0,0,0
"BCL2","",100,0,0,0
"BCL2L1","",100,0,0,0
"BCL2L11","",100,0,0,0
"BCL2L2","",100,0,0,0
"BCL3","",100,0,0,0
"BCL6","M",0,0,100,-100
"BCL9","",100,0,0,0
"BCOR","",100,0,0,0
"BCORL1","",100,0,0,0
"BCR","",100,0,0,0
"BCS1L","",100,0,0,0
"BDKRB1","",100,0,0,0
"BDKRB2","",100,0,0,0
"BDNF","",100,0,0,0
"BDP1_BRF1_BRF2_TBP","",100,0,0,0
"BECN1","",100,0,0,0
"BECN1_PIK3C3_PIK3R4_UVRAG","",100,0,0,0
"BFAR","",100,0,0,0
"BHLHE41","",100,0,0,0
"BICDL1","",100,0,0,0
"BID","",100,0,0,0
"BIK","",100,0,0,0
"BIRC2","",100,0,0,0
"BIRC3","",100,0,0,0
"BIRC5","",100,0,0,0
"BIRC5_LAMTOR5","",100,0,0,0
"BIRC6","",100,0,0,0
"BIRC6_RPS27A","",100,0,0,0
"BIRC6_UBA52","",100,0,0,0
"BIRC6_UBB","",100,0,0,0
"BIRC6_UBC","",100,0,0,0
"BIRC7","",100,0,0,0
"BLK","",100,0,0,0
"BLM","",100,0,0,0
"BLVRA","",100,0,0,0
"BMAL1","M",0,100,0,100
"BMAL1_CLOCK","",100,0,0,0
"BMF","",100,0,0,0
"BMI1","",100,0,0,0
"BMP1","",100,0,0,0
"BMP10","",100,0,0,0
"BMP15","",100,0,0,0
"BMP2","",100,0,0,0
"BMP4","",100,0,0,0
"BMP5","",100,0,0,0
"BMP6","",100,0,0,0
"BMP7","",100,0,0,0
"BMP8A","",100,0,0,0
"BMP8B","",100,0,0,0
"BMPR1A","",100,0,0,0
"BMPR1A_BMPR1B_BMPR2","",100,0,0,0
"BMPR1B","",100,0,0,0
"BMPR2","",100,0,0,0
"BMX","",100,0,0,0
"BNIP1","",100,0,0,0
"BNIP2","",100,0,0,0
"BNIP3","",100,0,0,0
"BNIP3L","",100,0,0,0
"BORA","",100,0,0,0
"BRAF","",100,0,0,0
"BRAP","",100,0,0,0
"BRCA1","M",0,0,100,-100
"BRCA2","",100,0,0,0
"BRCA2_FANCD2_FANCG_XRCC3","",100,0,0,0
"BRCC3","",100,0,0,0
"BRD2","",100,0,0,0
"BRD3","",100,0,0,0
"BRD4","",100,0,0,0
"BRDT","",100,0,0,0
"BRIP1","",100,0,0,0
"BRK1","",100,0,0,0
"BRMS1","",100,0,0,0
"BRSK1","",100,0,0,0
"BRSK2","",100,0,0,0
"BSPRY","",100,0,0,0
"BTAF1","",100,0,0,0
"BTC","",100,0,0,0
"BTF3","",100,0,0,0
"BTG1","",100,0,0,0
"BTG2","",100,0,0,0
"BTG3","",100,0,0,0
"BTK","",100,0,0,0
"BTRC","",100,0,0,0
"BTRC_CUL1_SKP1","",100,0,0,0
"BUB1","",100,0,0,0
"BUB1B","",100,0,0,0
"BUB1B_BUB3_CDC20_MAD2L1","",100,0,0,0
"BZW2","",100,0,0,0
"C10orf90","",100,0,0,0
"C1D","",100,0,0,0
"C1QA_C1QB_C1QC_C1R_C1S","",100,0,0,0
"C1QBP","",100,0,0,0
"C1RL","",100,0,0,0
"C2_C3_C4A_C4B_2","",100,0,0,0
"C2_C4A_C4B_2","",100,0,0,0
"C3","",100,0,0,0
"C3_CFB","",100,0,0,0
"C5","",100,0,0,0
"C9orf72","",100,0,0,0
"CABIN1","",100,0,0,0
"CABIN1_HIRA_UBN1","",100,0,0,0
"CABIN1_HIRA_UBN2","",100,0,0,0
"CABLES1","",100,0,0,0
"CABP1","",100,0,0,0
"CADPS","",100,0,0,0
"CADPS2","",100,0,0,0
"CALB1","",100,0,0,0
"CALCA","",100,0,0,0
"CALCB","",100,0,0,0
"CALM1","",100,0,0,0
"CALM2","",100,0,0,0
"CALM3","",100,0,0,0
"CALR","",100,0,0,0
"CALU","",100,0,0,0
"CAMK1","",100,0,0,0
"CAMK1G","",100,0,0,0
"CAMK2A","",100,0,0,0
"CAMK2A_CAMK2B_CAMK2D_CAMK2G","",100,0,0,0
"CAMK2B","",100,0,0,0
"CAMK2D","",100,0,0,0
"CAMK2G","",100,0,0,0
"CAMK4","",100,0,0,0
"CAMKK1","",100,0,0,0
"CAMKK2","",100,0,0,0
"CAMP","",100,0,0,0
"CAND1","",100,0,0,0
"CAPN1","",100,0,0,0
"CAPN1_CAPNS1","",100,0,0,0
"CAPN2","",100,0,0,0
"CAPN3","",100,0,0,0
"CAPNS1","",100,0,0,0
"CAPRIN1","",100,0,0,0
"CAPRIN2","",100,0,0,0
"CARD10","",100,0,0,0
"CARD11","",100,0,0,0
"CARD14","",100,0,0,0
"CARD16","",100,0,0,0
"CARD17P","",100,0,0,0
"CARD18","",100,0,0,0
"CARD8","",100,0,0,0
"CARD9","",100,0,0,0
"CARM1","",100,0,0,0
"CARM1_MAPK12","",100,0,0,0
"CASC3_EIF4A3_MAGOH_RBM8A","",100,0,0,0
"CASK","",100,0,0,0
"CASP1","",100,0,0,0
"CASP10","",100,0,0,0
"CASP12","",100,0,0,0
"CASP1_CASP5_NLRP1_PYCARD","",100,0,0,0
"CASP1_MEFV_PYCARD","",100,0,0,0
"CASP1_NAIP_NLRC4_PYCARD","",100,0,0,0
"CASP1_NLRP1_PYCARD","",100,0,0,0
"CASP1_NLRP3_PYCARD","",100,0,0,0
"CASP2","",100,0,0,0
"CASP2_CRADD_PIDD1","",100,0,0,0
"CASP3","",100,0,0,0
"CASP4","",100,0,0,0
"CASP5","",100,0,0,0
"CASP6","",100,0,0,0
"CASP7","",100,0,0,0
"CASP8","",100,0,0,0
"CASP8AP2","",100,0,0,0
"CASP9","",100,0,0,0
"CASR","",100,0,0,0
"CAST","",100,0,0,0
"CAV1","",100,0,0,0
"CAV3_DAG1_DMD_DTNA_DTNB_LAMA2_NOS1_SGCA_SGCB_SGCD_SGCG_SNTA1_SNTB1_SNTB2_SNTG1_SNTG2","",100,0,0,0
"CBFA2T3","",100,0,0,0
"CBFA2T3_ZNF652","",100,0,0,0
"CBFB","",100,0,0,0
"CBFB_RUNX1","",100,0,0,0
"CBL","",100,0,0,0
"CBLB","",100,0,0,0
"CBLC","",100,0,0,0
"CBLL1","",100,0,0,0
"CBX1","",100,0,0,0
"CBX3","",100,0,0,0
"CBX4","",100,0,0,0
"CBX5","",100,0,0,0
"CBY1","",100,0,0,0
"CC2D1A","",100,0,0,0
"CCAR2","",100,0,0,0
"CCDC102B","",100,0,0,0
"CCDC88C","",100,0,0,0
"CCK","",100,0,0,0
"CCKAR","",100,0,0,0
"CCKBR","",100,0,0,0
"CCL1","",100,0,0,0
"CCL11","",100,0,0,0
"CCL13","",100,0,0,0
"CCL14","",100,0,0,0
"CCL15","",100,0,0,0
"CCL16","",100,0,0,0
"CCL17","",100,0,0,0
"CCL18","",100,0,0,0
"CCL19","",100,0,0,0
"CCL2","",100,0,0,0
"CCL20","",100,0,0,0
"CCL21","",100,0,0,0
"CCL22","",100,0,0,0
"CCL23","",100,0,0,0
"CCL24","",100,0,0,0
"CCL25","",100,0,0,0
"CCL26","",100,0,0,0
"CCL27","",100,0,0,0
"CCL28","",100,0,0,0
"CCL3","",100,0,0,0
"CCL3L1","",100,0,0,0
"CCL4","",100,0,0,0
"CCL4L1","",100,0,0,0
"CCL5","",100,0,0,0
"CCL7","",100,0,0,0
"CCL8","",100,0,0,0
"CCN1","",100,0,0,0
"CCN2","",100,0,0,0
"CCN3","",100,0,0,0
"CCNA1","",100,0,0,0
"CCNA2_CDK1","",100,0,0,0
"CCNA2_CDK18","",100,0,0,0
"CCNA2_CDK2","",100,0,0,0
"CCNB1_CDK1","",100,0,0,0
"CCNC","",100,0,0,0
"CCNC_CDK19","",100,0,0,0
"CCNC_CDK3","",100,0,0,0
"CCNC_CDK8_MED12_MED13_MED13L","",100,0,0,0
"CCND1","",100,0,0,0
"CCND1_CDK4","",100,0,0,0
"CCND1_CDK6","",100,0,0,0
"CCND2","",100,0,0,0
"CCND3","",100,0,0,0
"CCND3_CDK11A","",100,0,0,0
"CCND3_CDK11B","",100,0,0,0
"CCND3_CDK6","",100,0,0,0
"CCNE1_CDK3","",100,0,0,0
"CCNE2_CDK2","",100,0,0,0
"CCNF","",100,0,0,0
"CCNH","",100,0,0,0
"CCNH_CDK7_ERCC2_ERCC3_GTF2H1_GTF2H2_GTF2H2C_2_GTF2H3_GTF2H4_GTF2H5_MNAT1","",100,0,0,0
"CCNH_CDK7_MNAT1","",100,0,0,0
"CCNK_CDK12","",100,0,0,0
"CCNK_CDK13","",100,0,0,0
"CCNO","",100,0,0,0
"CCNT1_CCNT2_CDK9","",100,0,0,0
"CCNT1_CDK9","",100,0,0,0
"CCNY_CDK14","",100,0,0,0
"CCNY_CDK16","",100,0,0,0
"CCP110","",100,0,0,0
"CCR5","",100,0,0,0
