"","P16902_146","P16902_147","P16902_148","P16902_144","P16902_145","P16902_149"
"GPATCH1",8.76425898750754,8.80236402807747,8.63191691685501,8.65071622892634,8.98730356245099,8.25017389671768
"ICAM3",5.18373077138573,4.95891832408665,5.13786241172375,5.28112095084593,5.07654591073903,5.47749470033185
"NT5C2",11.0392631118573,11.0613966832719,10.7422072095375,11.1050917420873,11.2083101376427,10.9906771498396
"MCAM",8.12933374133874,7.89617111940036,8.53076178760897,8.30527363848017,8.29445289230655,8.88027391822712
"GPC4",8.42636288355448,8.32229679462841,9.71374442056726,9.61670986771753,8.27142801894521,11.0432614057938
"MBNL3",6.58725916525107,6.86100086831046,7.62936499745985,8.08638063615661,7.20457967841515,8.47998702889976
"CAMSAP3",8.37989528015012,8.15825512381981,8.11427230764804,7.69343228097788,8.72331940145372,5.9629602809734
"RAP1GAP",9.21535503002207,8.75557564791784,8.55228367163176,7.8337930208669,9.03958572633313,6.65516992011782
"XAB2",7.98745233420534,7.39551484013009,8.38239530543292,8.38795206275874,8.67159164285877,7.92617754941335
"ARHGEF1",6.90000882976452,6.55609522107361,7.10845497857026,7.52632687188067,7.28963530626763,7.71898670555813
"STXBP2",5.26254826080776,5.45795213323723,5.29031095099465,5.05921631031587,5.32290848716218,4.94087121374919
"MAP2K7",7.52069154069623,7.20310972633089,7.62254778683394,7.42053615052125,7.60262243590723,6.99099058435697
"DGKD",10.5834132517508,10.3614753108858,10.5922796842904,10.3787866544625,10.7736225211012,9.73210302090751
"CTTNBP2",10.2956077501917,10.4143645403226,10.172312067265,9.86632734775005,10.232008682835,8.78169162450539
"ACTL6B",10.5854554524617,10.2745567794676,10.0890872788677,9.79223245829067,10.3888215168985,7.94783775386725
"RARB",8.01210136645858,7.99145094190824,7.82589467947357,7.59268147982136,8.09019446985166,5.94713050764567
"TOP2B",13.2126822892052,13.3099730690931,13.2071208567931,13.4673469587141,13.3957733848423,13.4651788792517
"TM9SF3",11.9091332681739,11.911221961574,11.6866164608702,12.0007659064488,11.8909874778383,12.3253465962213
"NFKB2",5.76951971169128,5.67386991742712,6.16047993900056,6.1653683000969,6.09646749403237,6.42781852490384
"UBE2T",8.63584797194149,8.57620798498917,8.46418745624302,8.86537253600958,8.71766303466794,8.32911917638599
"PPP1R12B",10.834719615157,10.9774109483644,10.6745014726408,10.6535431113345,10.6910615682733,10.6601208153616
"DNAJC10",11.188679126699,11.2128449944255,11.2116228125167,11.3768539778244,10.9790529583361,12.1423018196268
"GTF3C1",11.467882128879,11.3326437754193,11.4455916702088,11.6873679099295,11.6945389741315,11.7857856661314
"IL4R",4.93817568778476,5.00838899562681,4.63910910251109,5.0909007841773,4.86095996838829,6.09663944422455
"USP33",11.844672554576,11.9175019666494,11.804570035313,11.9039720336871,11.9211749061298,11.8445529407331
"PAK3",12.9756003182725,13.0333455384773,12.5919290486619,12.0169489059357,12.4845023236651,11.0786370174667
"CAPN6",4.7165496130104,4.84495094307666,5.0153475618871,4.77291247508709,4.95674843757777,4.58127373257168
"DCX",14.255337697647,14.4442926718193,14.1128230444726,13.7804909084409,14.342984848288,12.0360408244905
"SNRPA",8.52072763612895,8.11158483754391,8.71055519067675,9.32964257461733,9.00132895853774,9.28472657664277
"SPAG6",5.87520277529963,5.48441204341114,6.00991838444328,8.94299494376949,6.49513717052095,9.93881466016798
"EXOSC5",6.69631622744201,6.62684248559454,6.55665892062138,6.92190735690644,6.99805561656189,6.3150496424646
"DYNC1I2",12.1592350657273,12.2136549836603,12.1834530600739,12.0980736576551,12.1128783176336,11.841443273021
"LRCH4",7.49746075667521,7.03175530872374,7.31014150476043,7.22427350818905,7.72130380530875,6.94047352051505
"FAM76B",9.72325257000478,9.71497772932437,9.46852090139005,9.62370358757951,9.76994420544616,9.57381552416393
"SIRT6",7.16902082071916,6.74000049684547,7.30158068721242,7.33668941949539,7.63121893218586,6.83346059421358
"POLD3",9.04950768501134,8.96632259343604,8.87885499257802,9.39549921562476,8.93304882582425,9.7536512651057
"ACTN2",7.05321028673673,6.79318972059234,6.16047993900056,5.15028716110163,5.88899535302041,5.07532107295397
"CAPZB",10.2239969930227,10.2548480627146,10.3554169531893,10.4542535319362,10.304095140301,10.7992881619822
"GPR137B",8.38617874576254,8.35981600411131,8.47550008213014,8.05031828145981,8.33695871293833,8.35089758749689
"NAALAD2",9.09423242154179,9.35923344478065,9.118622161933,9.48368376482266,9.81911133096177,8.76963617057957
"JADE1",10.2010911416922,10.17239554989,10.2043018834589,9.81837260237513,9.93068987576685,10.2680947846043
"SLC25A43",5.9903111609895,6.15796744435664,6.00991838444328,6.5090360851835,5.84266003333913,7.23694571614715
"UBE2A",9.62999354070297,9.68808954237598,9.54013284390521,9.74491352392192,9.64560327794216,10.0147062367532
"FGFR1",10.5779532029759,10.5598345277902,10.7836258473362,11.6531918004666,10.9492599437997,12.3263735707244
"GTF2I",11.849495018016,12.016909779487,12.0683904326126,11.8859177783889,11.7725953079865,11.8698964080478
"FBLN1",7.41919597398627,7.07485915820495,8.71691803825858,8.09145879024988,8.25586960979723,7.89677467350811
"ITGA8",4.93817568778476,5.28072429172865,4.33057497578978,5.15028716110163,4.99924798284876,5.63720988468804
"MAP2",15.6681118876821,15.8120101633386,15.7814623836396,15.2826695713379,15.5231807102846,14.6414536155616
"PIAS2",10.394439518056,10.5024952654544,10.2919746040309,9.99794375742819,10.1109040570499,10.0908374581654
"AMPH",11.436174526827,11.4887329605295,10.8537243147138,11.1310776277973,11.6077000444692,9.89885563104635
"ARAF",8.04032994299301,7.71568339177883,8.01414446739986,8.25417738004072,8.05462122815303,8.77768436969042
"MCCC1",9.44431660735632,9.53679846623154,9.62364758391196,9.20922569764196,9.33604108477369,9.29736408279358
"LAMP3",5.29925920898593,5.45795213323723,5.0153475618871,5.17826991240815,5.32290848716218,4.94087121374919
"FAP",4.60390596466056,4.69525161239808,4.63910910251109,5.37262261357025,4.74232802187034,4.98896808752624
"NEBL",10.3741053903518,10.4047664165647,10.1849642730636,11.4798704365682,10.2516736502632,12.8426645947475
"ACER3",9.84421134585004,9.93484934762673,9.62364758391196,9.43679527455234,9.53221042460333,9.24613450377861
"UBE2K",11.1009940280068,11.0856246756809,11.026597934543,10.7754612372336,11.0880600005418,10.513911738885
"PIK3C3",10.9938600733709,11.1031084974982,11.0994751396419,10.9434006640316,10.7902995679992,11.2153838229644
"N4BP2",11.9783670346982,12.141822238255,11.9731560170047,11.7074504498346,12.0644185283251,11.4763499144268
"C12orf5",7.66822231500951,7.59423896180188,8.37031995901842,7.91352177677454,7.83080600963922,8.46758899351877
"TULP3",8.19889151572816,8.20978982772904,8.19418524668406,8.97755959016727,8.33202305094227,9.39465920021297
"SYNJ2",7.26211718638985,7.24126526423778,7.90084240602467,6.45226469243349,6.19402372481779,6.99099058435697
"ADCY2",11.3138333484149,11.2323530537772,10.6736857116013,11.7307007119839,10.960056456384,12.7918970227156
"PPP2R5C",11.5793186264106,11.6073300294071,11.4307022866657,11.4519166502364,11.4754420795509,11.4592859377023
"PMS2P1",8.15903505160868,8.24108025118725,7.62254778683394,7.88157749475574,8.06061204489979,7.74814814760953
"RBFOX1",4.7165496130104,5.09718127405855,4.86296472820736,7.29725485245688,8.09311925753903,6.45980961472376
"GNB1",13.1403345175683,13.0689338540522,12.9053950070092,12.9396692460841,13.2516432142946,12.6797190323015
"EDN1",4.80259831140558,5.17594971784969,5.41912560421338,5.70027502758029,5.20943279770974,6.16496703674859
"MLLT10",9.9494698912264,9.95847736170324,10.0693704948555,10.0093337861241,9.76447762255887,10.0001875703721
"ZCWPW1",7.01234157832621,7.24126526423778,6.82449048673678,7.00668785647124,7.1139774433399,7.37785530753697
"ADCYAP1R1",11.096705314028,11.1345528165665,11.2244906409621,11.3383364292221,11.1771194179763,10.9387918902205
"NRD1",11.247893672539,11.3531038653739,11.1630462331799,11.2473633239345,11.2869558257517,11.4094352866437
"VDAC3",11.5097005819238,11.4952070495053,11.2377966695784,11.4151253053421,11.51339797904,11.1352132970611
"PCM1",12.787681429,12.9348668587679,12.8602268634895,12.808280600852,12.7377200159625,13.0302931049296
"TNRC6C",11.4312630890413,11.4691345144874,11.3513107194428,10.7461344000003,11.3931541587683,9.62705110862998
