"","P13555_106","P13555_109","P13555_110","P13555_116","P13555_118","P13555_119","P13555_120","P13555_210","P13555_211","P13555_212"
"ZFYVE26",10.8224305807927,10.9096985919978,10.8873362382762,10.8839935695105,10.7676037756914,10.8262056030077,10.9544947273639,10.9435816804323,10.9146032633681,10.6362978555953
"RPS6KA6",9.64691639844211,9.86501187654542,8.98472656150773,9.0385398818461,9.5591304053592,9.65674608056606,9.60188161133995,9.90540197310192,9.4344633139074,8.92474138323183
"EPN2",8.92492222440799,8.84251593965513,8.89928171704777,9.42747715183184,8.97408843056556,8.67542706207877,8.88100660431749,9.30564468073707,9.58147976466283,9.33732990520639
"PTPN18",7.8549154015488,7.67162394645322,7.44501444495415,7.08216453151115,6.98784180028798,6.84944678644753,7.06946534759036,8.16728804137656,7.6727771815226,7.13828330916918
"LIMS2",5.08384922574117,5.08409300646659,5.18529622415279,6.47678337193853,6.10907235894862,5.81741620535947,5.87554420497904,6.05424906441673,6.42106297899465,6.76117883772692
"ASIC4",6.97351662608595,6.67600528654765,6.61338399946319,6.22612151344596,6.59532704428525,5.92055317799763,5.56843983185842,7.7518391582459,7.74858713138393,5.73755016808706
"SPEG",7.2374330582803,7.55675051091828,7.04100669062423,7.17164462659551,7.39031460503862,7.04128349609048,7.5586896890898,8.2394858002309,8.15648784485489,7.28485434007751
"LNX1",6.08636266943856,6.42741673115778,6.49649360572891,5.52337941333484,4.99408455497058,5.19077974789163,4.75444462058805,6.30703450057041,6.06421015864268,5.03754555015943
"ALDH3A2",10.2087273571038,10.097271839096,10.2371061675946,9.71892674608489,10.0526358587472,10.2023258855331,10.0193682127336,9.96598814017907,9.78079220848542,9.91511726549268
"TFRC",11.3005538791214,11.0220643828917,11.1533855800675,11.1372943630781,11.4140280234419,11.0797044099511,11.0569715920651,10.8051933735748,10.5843877506397,10.808769275086
"SREBF1",7.80471401893986,7.78714123444424,8.28358273462466,8.89864851362399,8.20169805308346,7.68133229310323,8.02709169350404,7.96046374223089,8.34812656618622,8.93059252619846
"TRPC5",4.33057497578978,4.33057497578978,4.33057497578978,4.93957821688211,4.33057497578978,4.33057497578978,4.75444462058805,4.33057497578978,4.33057497578978,4.78036575351024
"AFF4",12.4318644337922,12.5089983945908,12.5734495135168,12.4597032538189,12.339738781347,12.4013582576238,12.2898361892951,12.3018437334727,12.3004950749173,12.133153460137
"UBE2D1",9.59758471051386,9.41473435356322,8.82591238755511,9.16297102945537,9.3158897657275,9.44161559205535,9.61482326502719,9.17965490734249,9.35250834453302,9.27894269461087
"MPP5",10.8673267853261,10.5328674387567,10.5746813511778,10.4102824600605,10.9989604954408,11.2132973319521,11.1686350966406,10.674747288798,10.5864364378336,10.8662866404423
"RHOBTB1",10.5963713595321,10.7210107229129,10.7855133809885,10.049774695268,9.97246031316334,10.0766837670887,10.1055325561342,10.363482062262,10.2450160517983,10.4393394237454
"ASAH2C",5.00582285912278,4.71053199576477,4.93930625600087,5.11302029451282,5.1397380760095,5.31917690005135,5.21887707152116,5.16099600555359,4.99646340112394,5.21966779382149
"SMC1A",12.037742769915,11.9504651097999,12.4787633908522,12.0094496966107,12.245725229081,12.3668935029639,12.4001705104981,11.8719914074379,11.7139264573715,12.1743525796596
"HSD17B10",9.11236002644192,9.13721249045491,9.02561761666884,8.93849486822038,9.31097416757286,8.94041807278555,9.02867650110483,8.98686328943081,8.96498989289441,9.36349951875528
"MARK2",8.93158014208742,8.79305597287301,9.05554066305477,9.26331118918584,9.0260333109067,8.75976874514624,9.05029039782282,9.25332424503886,9.50551953355208,9.36781525319792
"HMMR",10.4161284718641,9.5560491073509,10.0738889601397,10.3255237724511,10.3506713801633,10.4705497987431,10.524210804009,9.912749576922,9.44805611564413,10.2290505364566
"CHFR",8.90137366966303,8.75128273037158,8.90477339082027,8.85766614306371,8.78125179970193,8.74329200231372,8.67058454456679,8.72456210860926,9.07427710795027,8.89811249725949
"TRHDE",6.94681519496071,7.50127445842915,6.8439925858417,7.31278111200066,7.65636049419021,7.86879474112119,7.65042494738143,7.07826024265431,7.20617621033639,7.7994002271258
"P4HA2",7.48686634140536,7.30742339894856,6.95692636532498,8.03274326627017,7.846381668674,7.4447186615442,7.27454650895548,7.6419284033296,7.33073676198174,8.59687265600017
