"ID","statistic","log2FoldChange","padj"
"CEBPD",3.02541749954632,2.77295833263163,0.0349062388034332
"TMEM257",-0.851839677873304,-0.88579522103282,0.657648325387856
"ARIH2OS",0.521224280106061,0.171556045889234,0.805941931201499
"C5orf54",1.00863987119127,0.247532082822116,0.585074086183794
"NPTXR",-0.764096574481781,-0.457706931596817,0.696299340720074
"FAM200A",-0.292335459529299,-0.0491117307876281,0.896808627145941
"PPP2R2A",-0.614863679563354,-0.110904759852179,0.765024594804685
"C19orf73",-0.0602595064438386,-0.03662416858495,0.979972594367024
"ZNF880",0.0616745578474422,0.0212264271514736,0.9796785738315
"TRIM16",-0.972262094877843,-0.192447208162908,0.601617480960446
"FAM45B",1.24843006466182,0.698383195941633,0.481422109626331
"TIGD1",-0.00906530296813877,-0.00209152478633142,0.997094738398152
"FXYD7",0.0533969229009331,0.0429639543495124,0.982229092828052
"XKR9",-1.58782782345385,-0.890833636446028,0.345149705134361
"C12orf61",0.0727593579599544,0.0548123401184307,0.976444308880714
"C1orf229",-0.13192975275069,-0.0793371484846888,0.956291513193218
"SLC12A8",1.75540387650089,0.904662827505731,0.28572599577375
"FADS3",-0.13104183404103,-0.0864847152806241,0.956740412235015
"CCNL2",1.79050034250736,0.379202742415437,0.274618025031753
"UBA52",2.44156426338539,0.424180720549018,0.108872673929235
"MYBPHL",-0.743982718206507,-0.541124298829912,0.705792458231719
"PPT2",1.43050966951832,0.395114635941102,0.405403033307405
"C5orf55",0.41353418117079,0.100148165474834,0.850892568240539
"ZNF630",-0.405544140513391,-0.235209310577634,0.853354432843625
"TIAF1",-0.700834229650719,-0.27868152595481,0.726610021873504
"LINC01118",-0.498647608575545,-0.60211547916366,0.814584281723843
"BTBD19",1.99153220183108,1.3936874402438,0.21470477085716
"FAM185A",-1.0961786921095,-0.202084792751735,0.545886149591435
"RAB6C",-0.818043159383913,-0.588000209866854,0.67276710244858
"POTEJ",1.34658265681964,1.43326683810799,0.440249926060316
"LINC00152",1.1050744617948,0.671135752941453,0.542554393178508
"DCDC2B",-0.123906285618053,-0.155168060416547,0.958943249504191
"RN7SKP154",-0.479438399244329,-0.35358795070997,0.823733977123733
"RN7SKP110",-2.34462874250751,-1.56977445380516,0.127211209932125
"RN7SKP16",-2.32021038392584,-1.09180881133909,0.132623968213376
"RN7SKP151",-1.26220750171964,-1.16554430404509,0.475249756061592
"RNA5SP129",-0.734513859440702,-1.1728267852235,0.71000490289487
"RNU6-101P",-0.673508120385901,-0.676570024425307,0.738636512362256
"RNU6-892P",-1.19761590679557,-0.92429087252888,0.502652949366179
"RNU2-33P",-1.20369203284825,-0.839880940486175,0.500228992124594
"RNU6-1156P",-0.0429128452478466,-0.0356570990146295,0.9854119794608
"RNY5P8",-1.91583633809343,-1.1484790427554,0.23664690110912
"RN7SKP139",-1.37866565448023,-0.592231894545795,0.426488919836635
"SNORD12B",1.21166371271659,0.616051093694917,0.497072405306949
"SNORA36B",-0.410331866452297,-0.240272735949972,0.851769369037071
"RNU2-59P",2.37229997357579,0.748765624309972,0.121561941088969
"RNU2-26P",-1.88997465694671,-1.72812431831783,0.243587309780634
"RN7SKP56",-0.956671006342135,-1.03442129517555,0.608755672880818
"RNU2-5P",0.09582140738246,0.125827221292855,0.968265946524737
"RN7SKP240",1.06769505812573,0.999444727495796,0.557468972884788
"RNU6-705P",-1.51389510698954,-1.50803921499044,0.372693464588096
"RNA5SP60",-0.400122389341129,-0.576106547664406,0.854764341368088
"RNU2-37P",-0.237399202618649,-0.21724444443711,0.916332789542237
"RNU2-42P",0.11614957888875,0.103551742917505,0.961430010833157
"RNU4-55P",-1.23747905527951,-0.687879539431616,0.486501599328995
"RNU6-1267P",0.560786249877466,0.635758843174755,0.789026899543834
"RN7SKP38",-0.584633216726204,-0.654587064800235,0.77866994376922
"RNU2-63P",0.288657201182977,0.206304187173227,0.897899944286383
"RNU2-7P",1.25399787820575,1.03131604997796,0.478681873476599
"MIR1537",-1.99084987423725,-3.10827392402265,0.214836334247559
"RNU4-78P",-2.18582718106184,-1.35700324700466,0.163587573690971
"RNU6-1068P",-0.708619338163737,-0.727983834005641,0.722392007045107
"RN7SKP97",-0.22158544511219,-0.209234739323519,0.9228696763015
"MIR1913",-0.25766934119477,-0.276776247977254,0.909149468506964
"RNU2-61P",1.67754458549979,0.694233436375998,0.313718539995576
"RN7SKP137",-1.76352503754196,-1.54290266799534,0.283118392630084
"RN7SKP268",-0.822625132639794,-0.822924463152019,0.670034093432173
"RNU6-130P",-0.931530939251184,-0.499778209027174,0.620275144233498
"RNA5SP155",-0.0536824264309211,-0.0461550755364276,0.98220957349509
"RNA5SP450",-1.40739596351867,-1.54907345526648,0.415312071544295
"RNU2-22P",1.09272878715899,0.789427780016273,0.547280549044868
"SNORD71",-0.92698897408729,-0.474715849534099,0.622420126735151
"RNA5SP294",-0.426241661856169,-0.558952755331774,0.845556358622375
"RNU2-64P",1.72499169123063,0.576285645879659,0.296955631430794
"RNA5SP508",-2.32302112253167,-1.4884051939032,0.131985815650898
"RN7SKP53",-1.051692275052,-0.642754312642851,0.565375195410463
"RNU6-195P",1.75022607988356,1.32232795276312,0.287846427295949
"RN7SKP30",-1.71409136809227,-1.01130579808505,0.300324021487181
"RN7SKP273",-1.38410208370088,-1.45342730605174,0.424101295735874
"RNU2-6P",-0.132394825076158,-0.0762518949492761,0.956071441223989
"HIST2H2BA",-0.551285494993033,-0.348442680364218,0.793176862993611
"FTH1P10",0.69116786112325,0.624907418927169,0.730878095542762
"SEC22B",1.64032339552182,0.335747579504869,0.326610081985854
"RPS10P7",-0.929538053677732,-1.16349317136146,0.621447854020703
"MEG9",-6.83917430163447,-5.54550796143409,3.37535024009963e-09
"LINC00473",-8.94201167889297,-5.17099340868855,3.94294894499419e-16
"RPS26P15",-2.11119145033243,-2.56173056782869,0.181792219457572
"MTND6P21",-1.07007191074309,-1.25649090584206,0.556533391743114
"FAM115B",-0.427340491398856,-0.117942980743344,0.845256523698994
"GAPDHP69",-1.29306347459313,-1.30553886127364,0.462557681529968
"VN1R42P",0.490330954223799,0.218009563460915,0.818254486688122
"LINC00842",0.799993914928091,1.06832495665735,0.680639331921756
"NUTM2A-AS1",-1.52050191397914,-0.333446340903605,0.370392029272927
"EXOSC6",-0.0601037057594945,-0.0147795630532016,0.979988951524715
"VPS52",2.55262174531221,0.427832599844652,0.0906745506474406
"RPL23AP53",1.29759914925904,0.331222905836515,0.460855136489551
"AFF2-IT1",-2.64721218944901,-1.59894801882354,0.0766097952022077
"CSNK1A1P1",-0.143152844470528,-0.227372111756116,0.95318871037108
"RABGAP1L-IT1",-3.91095287847603,-2.16658502139269,0.00331055402955992
"EEF1A1P8",0.062529713281472,0.0986273088111638,0.979483385504825
"LINC00630",-0.134664060670151,-0.0233722934236975,0.955249372765291
"ZNF844",1.74990687879047,0.680889014901453,0.287951420897025
"TMSB4XP4",-1.07375041386457,-0.626966080003202,0.554994216570051
"DHRSX-IT1",-0.867103138870299,-0.582685147886801,0.649413315849125
"CKMT1A",-2.23633972018989,-0.970631036888564,0.151753343274443
"TINCR",-2.4152353693244,-1.18375971525687,0.113356935398724
"TVP23CP1",-0.862926809638638,-0.526662148314217,0.651474202186631
"LINC00571",-1.29536412188704,-0.501471736117452,0.461720694783623
"DIP2A-IT1",-1.35824363698725,-0.853179021517341,0.434382636752876
"ADH5P3",-2.6741818901074,-1.26410388964377,0.0724717545314522
"RAET1E-AS1",-2.80821045031005,-2.83364425683377,0.055897062519106
"NSUN5P1",2.31304571047784,0.465081731246305,0.134450999453905
"MIR503HG",1.69438568174631,1.30732137894677,0.306975854426479
"TSSC2",-0.458171107899035,-0.568078354154507,0.83200345436488
"MED15P9",-6.26427909308672,-8.3351350391701,1.18513917070327e-07
"LINC00205",-4.39852957197604,-1.19449866043075,0.000630820788019389
"CD99P1",1.43915610728691,0.967674346169208,0.402017452225907
"ENTPD3-AS1",0.817118731917153,0.318009136388572,0.673200726761803
"CERS1",0.870501113322279,0.303087602926062,0.647876190925275
"CFL1P1",-0.239862282632307,-0.0766674335522115,0.915413706147637
"DAZAP2P1",-0.740364970357074,-0.418580559330788,0.707565986771026
"FAM95B1",-2.23485839250676,-1.59354655504336,0.152143261520891
"HLA-DPB1",0.496162674264277,0.383327545491819,0.815575703097594
"OSER1-AS1",-0.102041649935447,-0.0186275548647446,0.966459889815834
"ZNF32-AS3",-1.80968393308383,-1.98277141418052,0.268143826572308
"ASS1P2",-0.214931387990817,-0.102512805698553,0.925398388387648
"LINC01014",0.599467866410714,0.883375161982688,0.771258809803008
"AFG3L1P",0.728390394226002,0.134459642357703,0.712838891072846
"PRKRIRP8",-2.94136841976027,-1.92457542709644,0.0426070070410236
"SMCR2",-1.08494624190065,-0.74349161392882,0.550998491247264
"RPL32P35",-1.9476482916535,-2.40964171497902,0.227320370513017
"RPL21P32",-0.145185979510999,-0.0966113910771444,0.952474664158889
"MIR181A2HG",-0.89682665341437,-0.356950134210059,0.636264054751122
"TCEAL3-AS1",-0.280395933761713,-0.218091694622446,0.901210812258858
"EPB41L4A-AS1",-0.377843925030933,-0.118105940052077,0.863501012978909
