,CD28_146,CD28_147,CD28_148,AD28_144,AD28_145,AD28_149
LEPREL1,6.829369875,6.560143819,7.327383564,6.430702364,6.176912742,8.962847493
CHRD,6.040726833,5.549067711,6.041847939,6.927500092,7.15216108,6.103914183
RAB11FIP3,10.30750157,10.08641623,10.45645471,10.31729734,10.37772799,9.690596451
GNPTG,9.028736338,8.820170452,9.260252824,9.425065511,9.368383861,9.743383396
ZNF268,10.64772013,10.80205514,10.78321149,10.80862168,10.65748412,10.86741528
GOLGA3,11.87368877,11.6446591,11.67355171,11.54442264,11.92185132,11.50430607
PABPC4,10.95570247,10.72428979,10.89345538,10.89304429,11.07207991,10.51304774
CERS4,9.254721543,9.121422275,8.12148394,8.802978888,9.248985197,8.635747237
MCOLN1,8.037787892,7.775972153,8.202705772,7.958543466,8.328330515,7.854676149
USP48,11.0201162,11.18450825,11.14911021,10.77511456,10.94016802,11.00408399
EFNB1,9.571809089,9.142177915,9.937828782,10.74081042,10.24545897,10.97680306
PDPR,10.31512999,10.46317399,10.39217359,10.14152987,9.945122389,10.69147057
AARS,12.29020921,12.18310601,12.03746752,11.9406392,12.23672236,12.0543681
GLG1,12.10134684,12.18996473,12.32905301,12.23627965,12.21718478,12.80952663
KIF4A,8.133520021,8.315538594,9.284088862,9.916275785,8.622461495,10.31048276
TNRC6A,12.20075457,12.36738287,12.24750736,12.05373398,12.06520271,12.09203817
FCGBP,6.068036034,5.625627199,5.605932249,5.761994682,5.557821026,5.825095487
PLEKHG2,9.811883218,9.616283073,10.1056964,10.17862265,9.792273648,9.855525173
DLL3,8.560477187,8.196096136,8.090762076,8.565336716,8.405055509,7.574615724
NAT14,9.144734655,8.934719254,9.104474693,9.22133081,9.278324902,9.340448988
PITPNM2,8.70722675,8.539901628,8.427997191,7.89706328,8.685248535,6.469835835
EXOC1,11.55467916,11.70161783,11.45726733,11.40156624,11.5024391,11.37914478
RBM27,11.31392459,11.44019533,11.33316503,11.26168853,11.28531941,11.54062257
OSBPL8,12.93121953,13.00335339,12.88620974,12.73357373,12.98307993,12.29313331
DTX2,6.354558791,6.308878271,6.715298518,6.456743835,6.439374547,6.550661725
PUS7,8.481053557,8.378307037,8.446271459,8.376410156,7.972041322,8.560321226
LAMB4,6.266364455,6.458488474,6.511874125,5.525130013,5.490057294,5.399394114
NRCAM,12.99056553,13.08154511,12.98677856,13.03909304,13.09613808,12.08885667
LAMB1,9.961998654,9.71475476,10.25947486,9.752455349,9.886675425,9.891046819
DLD,11.45752356,11.46302609,11.090524,11.16290725,11.20009591,11.42225176
WDR7,11.85637023,11.91910702,11.90336667,11.54477772,11.84592254,10.92064263
TXNL1,11.47974906,11.58772136,11.28594101,11.13864739,11.16705376,10.87408471
IL5RA,5.249636545,4.994301538,4.4633419,5.89387505,5.14344413,5.853551779
CMTM6,9.607470079,9.608851908,10.03527356,10.77874207,9.746848874,11.40342271
ITGA6,10.60168458,10.37397858,10.41700071,10.90194189,10.22753756,12.31480908
RAPGEF4,10.89253165,11.00025601,10.70976865,10.05141097,10.47037705,9.314504497
FH,10.92196753,10.83425472,10.65603859,10.80388234,10.75799548,10.75548129
SEL1L3,8.485583454,8.488037431,8.35247229,12.24962742,9.043276172,13.66503983
TF,8.266045136,8.283089332,7.908796826,7.20378239,7.460977921,6.844178318
CDV3,12.29600157,12.30154652,12.04843063,12.19434783,12.16139551,12.37507809
MYO15A,7.021566588,6.476001398,6.69419638,6.168023344,6.705644915,5.985661329
ALKBH5,11.004477,10.79552805,10.88569547,11.12731141,11.14865848,11.01552393
APOH,5.924438496,6.205280223,5.967594418,6.215904074,6.158473784,6.169512418
NLRP1,10.94098907,10.59306182,10.57838687,10.91023383,11.00295768,10.73282857
PITPNM3,10.1740327,9.86576978,9.065694461,9.770795147,9.861066976,9.057190185
SPAG7,10.29083354,9.96657233,9.986337892,10.35018096,10.39567067,10.16091078
ORC6,7.520705868,7.574736396,8.113865371,8.727218932,7.792461664,9.224480735
ZFHX4,13.40880822,13.70620717,13.75072105,13.19911511,13.25454607,12.6744896
SLC17A6,12.99413297,13.02216717,12.24274261,11.32010721,12.18865981,9.772247619
ZC3HC1,9.359358722,9.387843779,9.649043697,9.671471414,9.478632918,9.735261857
ESR1,5.31094481,5.075308948,5.197080616,6.135003649,5.020333436,6.347282277
RGS17,12.30751699,12.36985601,11.85593457,11.36141166,11.95368321,9.685547057
ANGPT2,6.354558791,6.811348617,6.355853857,6.320790436,6.061704441,6.2908457
TMEM101,8.905927531,8.760956867,9.10829581,9.369966995,9.173947919,9.467517723
CD200,12.03554839,12.08081289,11.65084251,11.77558501,12.17885212,10.70815636
CCDC80,8.929353052,8.726973299,8.12148394,11.54903182,9.180179968,13.00834919
PSME1,8.857898375,8.787575994,9.112106801,9.46917341,8.987490384,9.834392526
PPP2R3C,9.594984419,9.679720722,9.858463534,9.721360515,9.45485235,9.70730108
HAUS4,6.587195975,6.824739584,7.244913692,7.975631079,7.143483892,8.375567796
JPH4,10.3771779,10.32609074,9.786433745,9.277172602,10.15985127,7.68795494
MYH7,6.901194101,6.654384005,7.047276655,7.541779175,7.291885008,7.925465738
SLC7A8,8.627559766,8.500173879,7.730353378,6.989139137,7.702110051,6.881273791
OSGEP,10.00194059,9.878183213,9.803016129,9.934825984,9.963287548,9.864488007
SLC22A17,11.28896793,10.82707224,10.55620883,11.24954116,11.19139265,10.99187138
RNF31,8.611081142,8.356204771,8.595579721,8.807732005,8.863812178,8.778819717
SCFD1,11.3215175,11.39450041,11.40859055,11.0588509,11.01751318,11.51382718
G2E3,10.63457123,10.63479639,10.71603377,10.6266864,10.57643248,10.83283697
HECTD1,13.46872715,13.56202011,13.51671922,13.56791516,13.65848588,13.53467288
HNRNPC,13.66513631,13.71423076,13.80432548,13.87760013,13.70166406,13.91884456
