"ID","statistic","log2FoldChange","pvalue","padj"
"RASSF8",1.36524908721734,0.438625824470844,0.172174774942759,0.371810673979343
"BHLHE41",2.62807017097484,0.698447843837793,0.00858708001385013,0.0611326572714605
"SSPN",1.302641497849,0.713036483498567,0.192697183353104,0.396623446381141
"ITPR2",1.84527050457473,1.20801899728487,0.0649981988558012,0.209388237536565
"CCDC91",-2.30812528633851,-0.319321381068255,0.0209921691478275,0.105908564012858
"NECAB1",-2.09869328930338,-0.671839912911043,0.0358439466214184,0.148384510825679
"WWP1",-0.139468384331655,-0.0377154316471455,0.889080037389927,0.940402869431278
"ACOT9",0.991283598592088,0.360815286916337,0.321547119441391,0.532739505705847
"PRDX4",1.76603739071212,0.791286495898355,0.0773895760855641,0.2326931517042
"DDX39A",1.49743549763995,0.354462160669843,0.134279977499061,0.321553207903268
"PKN1",2.29167771062675,0.507795646916914,0.0219242475352431,0.108886174110653
"C19orf43",3.61872527134882,0.380285734117341,0.000296057723729787,0.005890078438132
"WDR83",1.81257069797544,0.410332225591866,0.0698980606238113,0.218922017522374
"GIPC1",3.06345043537107,0.694947608783355,0.00218800446908278,0.024317752065903
"SPRYD7",-1.62598996478629,-0.554276650085536,0.103951790173658,0.276332107584237
"EBPL",1.94545258789234,0.715352496521027,0.051720530752446,0.184065777422444
"ATP7B",-1.19398641416264,-0.144634586823502,0.232483282487908,0.442690161004036
"ZC3H13",-2.01671048121903,-0.341000474498574,0.0437257354999917,0.167847025186924
"NLN",-2.32034649164408,-0.673764104471265,0.0203221409885674,0.104002395265444
"CENPK",2.0077481021384,1.22192474284201,0.0446700662579834,0.169775933314936
"OPTN",-1.59704982359407,-0.500336731232839,0.110254601584854,0.286307875977639
"ITIH5",4.21163234609382,4.36729595464621,2.53531944225483e-05,0.000942828603557509
"ATF1",-0.943243691625567,-0.165602510327351,0.345556269995794,0.556469977271684
"TSFM",-0.666351122481833,-0.113666182919059,0.505186696217546,0.693152167371891
"NEUROD4",1.40291560619455,0.63725497731707,0.160642006542158,0.357349400469285
"MMP19",3.89438037221187,6.11908126958843,9.84500624036847e-05,0.00259195615968963
"PFDN5",2.78592761854622,0.437975271003369,0.00533747884827307,0.0451457483965976
"SPATS2",1.13138052968357,0.191111713513704,0.257894962850127,0.469813405349233
"ORMDL2",1.49361430797312,0.487843309254461,0.135276457546148,0.32311047435228
"NR4A1",-2.0864117794623,-0.93255605312655,0.0369413388828259,0.151222707962743
"PDE1B",-1.59378446570038,-1.10860286271339,0.110984318048056,0.287482817668344
"CDK2",2.7560036429368,1.57566163512397,0.00585123452955807,0.0479051142835672
"LRP1",-0.743263506957178,-0.260132916154421,0.457322160956229,0.654078778810595
"C12orf44",0.578586537066032,0.0767009642658595,0.562868191005318,0.737397071932423
"NFE2",3.3991178966508,6.06409606023857,0.00067603568355512,0.010725905485172
"IKZF4",-4.37027970840149,-1.04190795562168,1.24087483846126e-05,0.000541408435088037
"SMUG1",1.28577000586917,0.17242812435572,0.198523341020404,0.404645112415202
"TUBA1B",1.96142430317058,0.43968315221395,0.0498295472609128,0.180402708373505
"METTL21B",1.73522308550368,1.01559820187744,0.0827012990055689,0.241233790761404
"KBTBD4",1.39738185065204,0.200016025610476,0.162298773932473,0.359270949327085
"ATPAF1",0.591047975973104,0.0994201271399307,0.554488276040833,0.73120108040486
"STIL",2.28365162530372,0.662262474075027,0.022392013163049,0.110312161160468
"HJURP",2.22137491915205,1.44260649321102,0.0263255783273641,0.122178051877092
"IL13RA2",2.04356254601309,1.7621257203521,0.0409967825336267,0.161251688013794
"AMD1",-1.75922630302117,-0.151765920334875,0.0785390783476541,0.234208819833209
"NDUFAF4",-1.72829546795143,-0.548871434378943,0.0839352651813943,0.243423316774011
"USP45",0.39671037472082,0.0842968526149676,0.691581048744605,0.822348836091551
"PLP1",1.59863954880965,0.935702763826338,0.109900716779994,0.285725654082736
"MORF4L2",-0.766586127859752,-0.0921806578483462,0.443327625855966,0.643012923637218
"RAB9B",-1.96588445744888,-0.6857155385516,0.0493119588318947,0.179554203331916
"NRK",3.06599206674266,2.10693527740228,0.00216949071056971,0.0241882433619306
"FAM199X",-0.850705103102037,-0.112565801155191,0.394933187718302,0.601632296250152
"RAB9A",2.06593880490587,0.839749792982256,0.0388342581836308,0.155853864925182
"METTL8",-2.50017685074923,-0.387177856709972,0.0124131322357785,0.0775908801134992
"TTC21B",-0.96269020158084,-0.181967496858702,0.335703015399734,0.546847523560772
"ACVR1C",-3.09846383785506,-2.08367646667928,0.00194526708595562,0.0223673991677362
"BAZ2B",-3.17539348678623,-0.517540440846649,0.00149633443763512,0.0186270389351655
"SLC36A1",-1.69840506545501,-0.664417631810715,0.0894313367164007,0.252346113702577
"LPGAT1",-1.28980872326377,-0.357968816085336,0.197117078435685,0.402756780060951
"KCNJ2",0.933950854734167,0.211145898711936,0.35032924439852,0.560825864227837
"RAP2C",2.36602860472196,0.29133877913148,0.0179800551579091,0.0970108455061107
"EXOSC9",1.01350230811939,0.15654817619717,0.310820294214731,0.521743579289883
"PLA2G12A",-3.55495425744708,-0.562999257256652,0.000378044852732829,0.00721971464693562
"B9D2",1.07690003922392,0.377064729330846,0.281524925585272,0.493784180688294
"ADCK4",3.84557470961007,0.843842634452147,0.00012027021155697,0.00300709648101376
"PFKFB2",1.39512239399226,0.401311015327251,0.162978934230052,0.36022942616591
"ZNF137P",1.31637519273311,0.395053212350761,0.188048144473953,0.391501294693246
"RAB38",0.132318084729836,0.0885450498007092,0.894732703597514,0.943812112232262
"AGO2",-1.11307256667637,-0.224696997602625,0.265677264678894,0.477671679365041
"MXD4",4.53725285666969,0.793320757125743,5.69917584931273e-06,0.000295468743223046
"PMS2P5",-0.422216755211567,-0.125457010797332,0.672866812780591,0.810650215903457
"CKS2",1.83382877928569,1.06386945152153,0.0666794142737996,0.212803646316536
"DAW1",3.51884167981958,2.79662011848531,0.000433435281613339,0.00795022238189211
"ACSL3",-2.09515678324216,-0.552097744033428,0.036157057585063,0.149046395321206
"CHPF",0.188509662895898,0.0490382162047468,0.850477141412525,0.918926110805356
"DNPEP",1.68988729515848,0.644866318575473,0.0910495186647548,0.255560867509526
"INHA",0.393155898191369,0.333818003553629,0.694204340476008,0.824078383027179
"OBSL1",0.915612158061336,0.260179952817343,0.359870352203082,0.569377497377589
"SLC12A4",-0.906227328094297,-0.551015903105078,0.364815541208401,0.574112472636517
